gadm_name,year,dengue_total,n_months,source
Hà Nội,2003,581,24,OpenDengue
Hà Nội,2004,604,24,OpenDengue
Hà Nội,2005,790,24,OpenDengue
Hà Nội,2006,2654,24,OpenDengue
Hà Nội,2007,1804,24,OpenDengue
Hà Nội,2008,2353,12,OpenDengue
Hà Nội,2009,16175,12,OpenDengue
Hà Nội,2010,3152,12,OpenDengue
Hà Nội,2011,4779,12,GDPM
Hà Nội,2012,1368,12,GDPM
Hà Nội,2013,3139,12,GDPM
Hà Nội,2014,1792,12,GDPM
Hà Nội,2015,15412,12,GDPM
Hà Nội,2016,6413,12,GDPM
Hà Nội,2017,37665,12,GDPM
Hà Tĩnh,1994,122,11,OpenDengue
Hà Tĩnh,1995,272,12,OpenDengue
Hà Tĩnh,1996,1,12,OpenDengue
Hà Tĩnh,1997,883,12,OpenDengue
Hà Tĩnh,1998,10530,12,OpenDengue
Hà Tĩnh,1999,390,12,OpenDengue
Hà Tĩnh,2000,35,12,OpenDengue
Hà Tĩnh,2001,6,12,OpenDengue
Hà Tĩnh,2002,103,12,OpenDengue
Hà Tĩnh,2003,367,12,OpenDengue
Hà Tĩnh,2004,27,12,OpenDengue
Hà Tĩnh,2005,203,12,OpenDengue
Hà Tĩnh,2006,404,12,OpenDengue
Hà Tĩnh,2007,108,12,OpenDengue
Hà Tĩnh,2008,151,12,OpenDengue
Hà Tĩnh,2009,113,12,OpenDengue
Hà Tĩnh,2010,5,12,OpenDengue
Hà Tĩnh,2011,5,12,GDPM
Hà Tĩnh,2012,35,12,GDPM
Hà Tĩnh,2013,140,12,GDPM
Hà Tĩnh,2014,117,12,GDPM
Hà Tĩnh,2015,59,12,GDPM
Hà Tĩnh,2016,21,12,GDPM
Hà Tĩnh,2017,194,12,GDPM
Hưng Yên,1997,0,11,OpenDengue
Hưng Yên,1998,4,12,OpenDengue
Hưng Yên,1999,1,12,OpenDengue
Hưng Yên,2000,2,12,OpenDengue
Hưng Yên,2001,8,12,OpenDengue
