gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Phú Thọ,1997,10,1282472,1880.5934631728037,0.005317470360196142,38,4
Phú Thọ,1998,404,1285233,4089.4051443215194,0.09879187454952654,38,5
Phú Thọ,1999,3,1288000,619.3257366544226,0.0048439776073345535,38,6
Phú Thọ,2000,196,1290773,432.6624829040741,0.45300900296329893,38,7
Phú Thọ,2001,54,1293552,713.1292917337312,0.07572259424194648,38,8
Phú Thọ,2002,0,1296337,531.7114053160941,0,38,9
Phú Thọ,2003,0,1299128,829.1680685277826,0,38,10
Phú Thọ,2004,1,1301925,1272.495351311203,7.858574877853828e-4,38,11
Phú Thọ,2005,8,1304728,913.9082499312211,0.008753613943852748,38,12
Phú Thọ,2006,0,1307537,1090.2030319294722,0,38,13
Phú Thọ,2007,0,1310352,1639.496908935897,0,38,14
Phú Thọ,2008,0,1313173,1496.0123713946296,0,38,15
Phú Thọ,2009,0,1316000,1616.0138914786498,0,38,16
Phú Thọ,2010,85,1318833,1951.1066818960278,0.0435650191702483,38,17
Phú Yên,1994,586,766362,512.1645259295668,1.1441635848098295,39,1
Phú Yên,1995,1234,772394,949.7034310708383,1.2993529976074774,39,2
Phú Yên,1996,1150,778473,1060.2569062643718,1.0846427815800062,39,3
Phú Yên,1997,2969,784600,1150.5230766873522,2.5805653621033873,39,4
Phú Yên,1998,6264,790776,2516.122323661152,2.489545099256302,39,5
Phú Yên,1999,801,797000,383.23184170308605,2.090118598810444,39,6
Phú Yên,2000,301,803273,269.25423031765024,1.1179025846498232,39,7
Phú Yên,2001,3238,809596,446.32656597528495,7.25477766021954,39,8
Phú Yên,2002,1532,815968,334.68109910691635,4.577491839509561,39,9
Phú Yên,2003,723,822390,524.89017854789,1.3774309932797397,39,10
Phú Yên,2004,958,828863,810.1267848561612,1.1825309543000653,39,11
Phú Yên,2005,373,835387,585.154201630756,0.6374388134964986,39,12
Phú Yên,2006,535,841962,702.014187873385,0.7620928597193714,39,13
Phú Yên,2007,1638,848589,1061.7445102209206,1.5427440257347562,39,14
Phú Yên,2008,1416,855268,974.351063308446,1.4532749573771884,39,15
Phú Yên,2009,2736,862000,1058.513658400149,2.5847564443667403,39,16
Phú Yên,2010,4305,868785,1285.2970911639613,3.3494201687653433,39,17
Quảng Bình,1994,518,767214,512.7339228674265,1.010270584600924,40,1
